"교육청","소재구","학교명","홈페이지 주소","설립","남녀","우편번호","주소","전화번호","1학년 학급수","2학년 학급수","3학년 학급수","특수 학급수","1학년 학생수 계","1학년 여학생 수","2학년 학생수 계","2학년 여학생 수","3학년 학생수 계","3학년 여학생 수","학급당 평균 학생수","정규 교원수 계","정규 여교원수","기간제 교원수 계","기간제 여교원수","직원수","여직원수","보통 교실 수","비고"
"북부","노원구","청원중학교","http://cheongwon.ms.kr","사립","공학","139-822","서울특별시 노원구 한글비석로 506  청원중학교 (상계동청원초/중/고등학교)","02-3399-7878","7","8","8","0","238","109","280","134","275","124","34.5","36","22","6","4","3","1","27",""
"중부","종로구","서울대학교사범대학부설여자중학교","http://snu-g.ms.kr","국립","여자","110-810","서울특별시 종로구 대학로 64 (동숭동서울사대부속여자중학교)","02-762-5252","8","8","8","1","199","199","259","259","233","233","27.6","47","34","9","7","4","1","34",""
"중부","중구","금호여자중학교","http://www.kum-ho.ms.kr","공립","여자","100-450","서울특별시 중구 청구로 6 (신당동금호여중학교(본관동 주1))","070-4050-5633","6","6","5","2","146","146","185","185","159","159","25.8","33","29","7","5","2","1","19",""
"중부","중구","덕수중학교","http://www.ducksu.ms.kr","공립","공학","100-282","서울 중구 마른내로9길 10 (인현동2가덕수중학교)","02-2265-9626","4","5","5","2","96","63","108","60","137","87","21.3","30","20","2","1","4","2","20",""
"중부","용산구","선린중학교","http://www.sunrin.ms.kr","공립","공학","140-133","서울특별시 용산구 원효로97길 33-4 (청파동3가)","02-713-6214","9","10","9","2","250","100","316","134","292","126","28.6","52","43","3","1","4","1","29",""
"중부","용산구","용강중학교","http://www.yonggang.ms.kr","공립","공학","140-906","서울특별시 용산구 이촌로65가길 91 (이촌동용강중학교)","02-795-6176","10","10","10","1","299","148","330","157","324","160","30.7","54","44","7","6","5","2","31",""
"중부","용산구","용산중학교","http://www.yong-san.ms.kr","공립","남자","140-833","서울특별시 용산구 두텁바위로 74 (용산동2가용산중학교)","070-4000-3882","6","6","6","2","165","0","174","0","195","0","26.7","33","26","4","1","5","1","22",""
"중부","중구","장원중학교","http://www.jangwon.ms.kr","공립","공학","100-835","서울특별시 중구 동호로15길 93-34 (신당동)","02-2238-1181","4","5","5","2","96","96","142","142","132","132","23.1","31","22","3","2","4","1","23",""
"중부","중구","창덕여자중학교","http://www.changdeok.ms.kr","공립","여자","100-120","서울특별시 중구 정동길 22 (정동창덕여자중학교)","070-4325-4404","4","4","4","2","85","85","108","108","107","107","21.4","24","19","3","2","3","0","14",""
"중부","종로구","청운중학교","http://www.cheong-un.ms.kr","공립","남자","110-030","서울특별시 종로구 창의문로 51 (청운동청운중학교)","02-737-0582","7","8","8","1","197","0","240","0","232","0","27.9","42","29","6","4","4","1","23",""
"중부","용산구","한강중학교","http://www.hangang.ms.kr","공립","공학","140-240","서울특별시 용산구 녹사평대로 73 (서빙고동한강중학교)","02-794-1791","6","6","6","2","166","136","176","141","193","159","26.8","36","30","4","3","3","1","22",""
"중부","종로구","경신중학교","http://www.ksms.ms.kr","사립","남자","110-530","서울특별시 종로구 혜화로 74 (혜화동경신중고등학교)","02-762-0313","4","4","5","0","112","0","129","0","152","0","30.2","23","7","4","4","4","0","13",""
"서부","은평구","선정중학교","sunjung-m.sen.go.kr","사립","공학","122-801","서울특별시 은평구 서오릉로20길 19  227-5 (갈현동선정중.고등학교)","02-3156-1400","10","10","10","0","291","126","330","171","351","116","32.4","47","30","9","7","5","3","30",""
"서부","마포구","숭문중학교","http://www.soongmoon.ms.kr","사립","남자","121-809","서울특별시 마포구 숭문길 99  숭문중고등학교 (대흥동숭문중고등학교)","02-715-4461","6","6","7","0","178","0","192","0","191","0","29.5","30","7","3","1","4","1","20",""
"서부","은평구","숭실중학교","http://www.soongsilm.net","사립","남자","122-890","서울특별시 은평구 은평터널로7길 6 (신사동)","02-373-7641","6","6","6","0","166","0","198","0","208","0","31.8","30","7","3","1","4","0","20",""
"서부","은평구","영락중학교","http://youngnak.ms.kr/","사립","공학","122-915","서울특별시 은평구 백련산로 134-6 (응암동영락중학교)","02-388-4033","8","8","8","0","245","122","275","128","273","115","33","39","23","8","8","4","2","24",""
"서부","은평구","예일여자중학교","http://yale.ms.kr","사립","여자","122-819","서울특별시 은평구 연서로 117 (구산동)","02-380-0905","8","10","10","0","258","258","330","330","347","347","33.4","47","36","7","7","5","2","28",""
"서부","서대문구","이화여자대학교사범대학부속이화?금란중학교","http://www.ewha.ms.kr","사립","공학","120-160","서울특별시 서대문구 성산로 520  (대신동)","02-392-6176","8","8","10","0","215","96","270","126","337","184","31.6","41","27","8","5","4","2","26",""
"서부","서대문구","인창중학교","http://ic.ms.kr/","사립","남자","120-012","서울특별시 서대문구 경기대로 65 (충정로2가인창중학교)","02-300-4567","6","6","6","0","171","0","162","0","192","0","29.2","31","12","2","1","4","1","18",""
"서부","서대문구","정원여자중학교","http://www.jungwon.ms.kr","사립","여자","120-850","서울특별시 서대문구 연희로37안길 51 (홍은동정원여자중학교)","02-394-6301","8","8","8","0","221","221","215","215","206","206","26.8","42","29","4","4","4","2","26",""
"서부","서대문구","중앙여자중학교","http://jungang1940.ms.kr","사립","여자","120-763","서울특별시 서대문구 북아현로11가길 7 (북아현동서울중앙여자고등학교)","02-362-3064","5","5","6","0","105","105","104","104","116","116","20.3","31","16","1","1","4","1","16",""
"서부","은평구","충암중학교","http://www.choongam.ms.kr","사립","공학","122-952","서울특별시 은평구 가좌로5길 5 (응암동)","02-309-2437","12","10","12","0","308","142","331","158","412","165","30.9","50","28","14","8","4","0","34",""
"서부","서대문구","한성중학교","http://www.hanseong.ms.kr","사립","남자","120-821","서울특별시 서대문구 북아현로3길 24 (북아현동한성중?고등학교)","02-365-4942","8","8","8","0","162","0","171","0","163","0","20.7","48","3","2","2","4","0","29",""
"서부","마포구","홍익대학교사범대학부속여자중학교","http://www.hongikg.ms.kr","사립","여자","121-847","서울특별시 마포구 성미산로 51 (성산동)","02-331-7307","5","5","5","0","156","156","174","174","172","172","33.5","28","17","3","3","4","0","26",""
"남부","금천구","가산중학교","http://www.gasan.ms.kr","공립","공학","153-813","서울특별시 금천구 시흥대로115길 48 (독산동가산중학교)","02-804-1778","6","7","7","2","179","86","221","106","225","99","28.4","37","27","4","2","3","1","27",""
"남부","구로구","개봉중학교","www.gaebong.ms.kr","공립","공학","152-802","서울특별시 구로구 고척로21나길 68 (개봉동개봉중학교)","02-2684-1112","7","8","6","2","204","107","248","125","203","111","28.5","39","27","5","5","4","2","29",""
"남부","구로구","개웅중학교","http://www.kaewoong.ms.kr","공립","공학","152-812","서울특별시 구로구 개봉로11길 81  개웅중학교 (개봉동개웅중학교)","02-2613-3342","10","10","10","0","280","124","324","168","334","176","31.3","53","36","13","12","3","2","35",""
"남부","구로구","경인중학교","http://kyeongin.ms.kr","공립","공학","152-805","서울특별시 구로구 경인로 301 (개봉동경인중학교)","02-2612-6508","7","9","12","2","227","110","263","144","366","238","28.5","51","37","7","5","4","1","35",""
"남부","구로구","고척중학교","http://www.gocheok.ms.kr","공립","공학","152-826","서울특별시 구로구 중앙로3길 20 (고척동고척중학교)","02-6917-7102","14","14","14","1","426","210","445","208","454","209","30.8","73","58","9","7","4","0","42",""
"남부","구로구","구로중학교","http://www.guro.ms.kr","공립","공학","152-840","서울특별시 구로구 구로중앙로 48 (구로동구로중학교)","02-890-4503","8","8","9","2","249","122","243","117","270","113","28.2","46","31","9","7","4","0","40",""
"남부","구로구","구일중학교","http://kuil.ms.kr","공립","공학","152-868","서울특별시 구로구 구일로 90-133 (구로동구일중학교)","02-2107-9103","7","9","8","1","206","79","266","135","246","124","28.7","44","34","7","4","4","1","25",""
"남부","금천구","난곡중학교","http://nangok.ms.kr","공립","공학","153-820","서울특별시 금천구 문성로 67 (독산동난곡중학교)","02-838-8033","6","8","9","1","160","78","238","118","270","129","27.8","43","29","2","2","4","1","23",""
"남부","영등포구","당산서중학교","http://www.dangsanseo.ms.kr","공립","공학","150-045","서울특별시 영등포구 당산로41길 12 (당산동5가당산서중학교)","02-2676-0961","7","7","7","0","199","97","218","104","216","90","30.1","38","32","6","5","5","2","21",""
"남부","영등포구","당산중학교","http://dangsan.ms.kr","공립","공학","150-040","서울특별시 영등포구 버드나루로 160 (당산동당산중학교)","02-2177-9900","6","6","7","1","177","74","196","104","205","100","28.9","35","25","3","3","4","2","24",""
"남부","영등포구","대림중학교","http://www.daerim.ms.kr","공립","공학","150-822","서울특별시 영등포구 시흥대로185길 6 (대림동대림중학교)","02-845-2171","8","8","8","1","238","119","246","119","264","143","29.9","41","28","11","8","4","2","34",""
"남부","영등포구","대영중학교","http://daeyoung.ms.kr","공립","공학","150-841","서울특별시 영등포구 도림로80가길 14 (신길동대영중학교)","02-848-7781","8","9","9","0","255","126","294","148","282","144","32","47","33","3","3","5","1","27",""
"남부","영등포구","문래중학교","http://www.mullae.ms.kr","공립","공학","150-096","서울특별시 영등포구 선유서로13길 6 (문래동6가문래중학교)","02-6712-0700","7","8","8","0","229","102","234","119","244","99","30.7","43","30","2","2","4","1","23",""
"남부","금천구","문성중학교","http://www.munseong.ms.kr","공립","공학","153-805","서울특별시 금천구 독산로102길 78 (독산동문성중학교)","02-858-8446","6","7","6","0","167","82","224","106","180","83","30.1","37","27","5","2","3","1","31",""
"남부","영등포구","선유중학교","http://seonyoo.ms.kr","공립","공학","150-103","서울특별시 영등포구 선유로 213 (양평동3가선유중학교)","02-2687-6521","7","7","7","1","206","91","225","97","203","84","28.8","37","27","7","6","4","2","28",""
"남부","금천구","세일중학교","http://www.seil.ms.kr","공립","공학","153-863","서울특별시 금천구 시흥대로 147-34 (시흥동)","02-856-0868","6","6","6","2","184","73","175","75","192","81","27.6","33","26","7","5","3","2","19",""
"남부","금천구","시흥중학교","http://www.shi-heung.ms.kr","공립","공학","153-030","서울특별시 금천구 시흥대로38길 60 (시흥동시흥중학교)","02-895-2301","11","11","10","1","314","214","352","212","306","232","29.5","56","44","8","7","2","2","35",""
"남부","구로구","신도림중학교","www.sindorim.ms.kr","공립","공학","152-887","서울특별시 구로구 경인로63길 74 (신도림동신도림중학교)","02-2676-1993","12","12","11","1","362","182","399","201","345","178","30.7","62","47","4","3","3","1","37",""
"남부","금천구","안천중학교","http://www.ancheon.ms.kr","공립","공학","153-833","서울특별시 금천구 한내로 69-44 (독산동안천중학교)","02-894-1204","7","8","7","1","200","102","233","104","213","104","28.1","42","31","7","6","2","0","24",""
"강동송파","송파구","문현중학교","http://www.munhyeon.ms.kr/","공립","공학","138-923","서울특별시 송파구 충민로 99 (장지동문현중학교)","02-407-4095","9","9","9","1","269","135","288","145","258","132","29.1","50","42","5","4","4","2","27",""
"강동송파","송파구","방산중학교","http://www.bangsan.ms.kr","공립","공학","138-836","서울특별시 송파구 오금로29길 31 (방이동방산중학교)","02-415-7630","6","9","8","1","202","98","283","138","261","118","31.1","41","32","5","4","4","1","26",""
"강동송파","송파구","방이중학교","http://www.bangi.ms.kr","공립","공학","138-828","서울특별시 송파구 오금로11길 64 (방이동방이중학교)","02-2152-7101","8","8","9","1","213","75","247","94","281","109","28.5","45","32","4","4","4","2","31",""
"강동송파","송파구","서울체육중학교","http://www.cheyuk.ms.kr/","공립","공학","138-829","서울특별시 송파구 강동대로 232 (방이동서울체육중고등학교)","02-2140-9903","2","2","2","0","51","20","59","23","53","21","27.2","11","6","0","0","0","0","6",""
"강동송파","송파구","석촌중학교","http://www.seokchon.ms.kr","공립","공학","138-801","서울특별시 송파구 송이로15길 13 (가락동석촌중학교)","02-448-4031","7","9","9","0","187","85","263","132","267","127","28.7","43","33","5","4","3","2","25",""
"강동송파","강동구","성내중학교","www.seongnae.ms.kr","공립","공학","134-850","서울특별시 강동구 성안로7길 36 (성내동성내중학교)","02-470-6453","8","9","8","1","237","144","316","168","257","155","31.2","46","40","5","3","4","2","30",""
"강동송파","송파구","세륜중학교","http://www.seryun.ms.kr","공립","공학","138-855","서울특별시 송파구 양재대로72길 41 (오금동세륜중학교)","02-431-1102","7","8","9","0","200","117","233","148","273","166","29.4","41","35","4","3","3","2","31",""
"강동송파","송파구","송례중학교","http://www.songrye.ms.kr","공립","공학","138-871","서울특별시 송파구 위례순환로 429 (장지동)","02-2144-2800","5","4","4","1","108","54","99","55","78","32","20.4","28","23","3","2","4","2","10","신설"
"강동송파","송파구","송파중학교","http://www.songpa.ms.kr","공립","공학","138-807","서울특별시 송파구 동남로 203 (가락동송파중학교)","02-402-0118","12","13","13","3","399","215","480","243","449","239","32.4","68","55","7","6","4","3","39",""
"강동송파","강동구","신명중학교","http://www.sinmyung.ms.kr","공립","공학","134-808","서울특별시 강동구 명일로24길 25 (길동신명중학교)","02-6969-6400","10","10","8","0","312","141","322","148","268","136","32.2","48","39","4","2","4","2","31",""
"강동송파","강동구","신암중학교","http://www.sinam.ms.kr","공립","공학","134-855","서울특별시 강동구 고덕로 65 (암사동신암중학교)","02-441-6751","9","11","10","1","265","127","336","168","292","148","28.8","55","44","6","5","5","3","30",""
"강동송파","송파구","신천중학교","http://www.scm.ms.kr","공립","공학","138-908","서울특별시 송파구 백제고분로 11 (잠실동신천중학교)","02-422-3946","12","12","12","1","463","173","471","158","441","177","37.2","61","47","10","9","3","1","37",""
"강동송파","송파구","아주중학교","http://aju.ms.kr","공립","공학","138-892","서울특별시 송파구 올림픽로4길 69 (잠실동아주중학교)","02-415-1696","8","10","10","0","259","95","329","124","313","107","32.2","50","37","7","5","4","2","28",""
"강동송파","송파구","오금중학교","http://www.ogeum.ms.kr","공립","공학","138-855","서울특별시 송파구 오금로35길 20 (오금동오금중학교)","02-402-4777","8","9","8","0","245","136","277","154","253","136","31","45","36","5","3","4","3","30",""
"강동송파","송파구","오륜중학교","http://www.oryun.ms.kr","공립","공학","138-829","서울특별시 송파구 양재대로 1242 (방이동오륜중학교)","02-3434-4110","8","8","9","0","286","222","289","230","268","211","33.7","44","35","5","5","6","4","30",""
"강동송파","송파구","오주중학교","http://www.oju.ms.kr","공립","공학","138-857","서울특별시 송파구 동남로 281 (오금동오주중학교)","02-3434-7500","9","10","9","2","278","184","335","218","305","197","30.6","50","42","4","3","4","0","32",""
"강동송파","송파구","잠신중학교","http://jamsin.ms.kr","공립","공학","138-911","서울특별시 송파구 잠실로 12  잠신중학교 (잠실동잠신중학교)","02-415-9621","12","12","11","1","458","207","483","204","427","197","38","59","50","8","6","4","2","36",""
"강동송파","송파구","잠실중학교","http://jamsil.ms.kr","공립","공학","138-240","서울특별시 송파구 올림픽로35길 130 (신천동잠실중학교)","02-418-0586","12","12","12","0","422","188","413","191","401","196","34.3","62","50","6","5","3","1","38",""
"강동송파","강동구","천일중학교","http://www.cheonil.ms.kr","공립","공학","134-867","서울특별시 강동구 천중로 57 (천호동천일중학교)","070-4014-6415","9","11","10","2","267","131","347","161","314","150","29","53","38","9","9","5","3","32",""
"강동송파","강동구","천호중학교","http://www.cheonho.ms.kr","공립","공학","134-861","서울 강동구 상암로 153 (천호동천호중학교)","070-4311-1979","9","11","10","1","257","95","345","127","300","99","29.1","53","39","13","7","3","2","34",""
"강동송파","송파구","풍납중학교","http://www.pungnap.ms.kr","공립","공학","138-878","서울특별시 송파구 올림픽로43길 20 (풍납동풍납중학교)","02-2225-2011","6","8","8","2","162","42","195","67","238","90","24.8","42","30","7","5","4","2","27",""
"강동송파","송파구","풍성중학교","http://www.pungsung.ms.kr","공립","공학","138-878","서울특별시 송파구 강동대로2길 27 (풍납동풍성중학교)","02-2224-7700","6","8","7","0","150","41","263","102","204","77","29.4","37","30","3","3","5","2","21",""
"강동송파","강동구","한산중학교","http://urihansan.ms.kr","공립","공학","134-818","서울특별시 강동구 풍성로 251 (둔촌동한산중학교)","02-482-2157","6","8","7","1","200","145","247","170","235","159","31","43","33","2","2","4","2","25",""
"강동송파","강동구","동북중학교","http://www.dongbuk.ms.kr","사립","남자","134-820","서울특별시 강동구 강동대로 305 (둔촌동)","02-477-2280","10","10","10","0","222","0","285","0","259","0","25.5","54","20","4","4","5","1","31",""
"강동송파","강동구","동신중학교","http://www.dong-shin.ms.kr","사립","공학","134-864","서울특별시 강동구 진황도로 72 (천호동동신중학교)","02-3784-3938","8","8","8","0","223","107","228","99","218","0","27.9","42","20","2","2","4","1","24",""
"강동송파","송파구","배명중학교","http://bm.ms.kr/","사립","남자","138-841","서울특별시 송파구 삼학사로 11 (삼전동배명중고등학교)","070-4014-2591","9","9","9","0","273","0","280","0","314","0","32.1","40","9","10","8","4","1","29",""
"강동송파","강동구","배재중학교","http://www.pcms.kr","사립","남자","134-878","서울특별시 강동구 고덕로 227 (고덕동배재중 고등학교)","02-441-9151","9","9","9","0","280","0","306","0","302","0","32.9","48","14","3","2","7","1","28",""
"강동송파","송파구","보성중학교","http://posung.ms.kr/","사립","남자","138-829","서울특별시 송파구 양재대로 1278 (방이동보성중고등학교)","02-2152-2552","8","8","8","0","178","0","257","0","241","0","28.2","37","5","6","3","4","0","24",""
"강동송파","송파구","보인중학교","http://boin.ms.kr","사립","남자","138-860","서울특별시 송파구 오금로49길 18 (오금동보인중고등학교)","02-449-6019","8","8","8","0","263","0","269","0","271","0","33.5","39","11","4","2","4","1","30",""
"강동송파","강동구","상일여자중학교","http://www.sangil.ms.kr","사립","여자","134-837","서울특별시 강동구 천호대로219길 61 (상일동상일여자고등학교)","02-428-0735","6","6","6","0","116","116","140","140","152","152","22.7","26","19","8","5","4","1","18",""
"강동송파","강동구","성덕여자중학교","http://www.sd.ms.kr","사립","여자","134-861","서울특별시 강동구 구천면로 396  (천호동)","02-2045-5001","8","10","10","0","237","237","272","272","287","287","28.4","45","29","8","5","4","1","28",""
"강동송파","송파구","영파여자중학교","http://www.youngpa.ms.kr","사립","여자","138-879","서울특별시 송파구 올림픽로 565   영파여자중학교 (풍납동)","02-470-7876","7","7","7","0","157","157","188","188","210","210","26.4","36","26","5","5","4","2","24",""
"강동송파","송파구","일신여자중학교","http://www.ilsin.ms.kr","사립","여자","138-854","서울특별시 송파구 송파대로38길 8 (송파동일신여자중학교)","02-2140-8131","8","8","8","0","199","199","248","248","257","257","29.3","37","12","7","5","5","1","24",""
"강동송파","송파구","정신여자중학교","http://www.chungshin.net","사립","여자","138-892","서울특별시 송파구 올림픽로4길 16  정신여자중학교 (잠실동정신여자중고등학교)","02-423-2776","13","13","13","0","334","334","424","424","426","426","30.4","66","40","6","5","5","1","40",""
"강동송파","강동구","한영중학교","http://www.hanyoung.ms.kr","사립","공학","134-710","서울특별시 강동구 동남로 832 (상일동한영중학교)","02-428-0565","8","8","8","0","238","88","292","109","279","98","33.7","39","22","5","3","3","0","24",""
"강서","양천구","강신중학교","http://www.kangsin.ms.kr","공립","공학","158-848","서울특별시 양천구 남부순환로 604 (신월동강신중학교)","02-2694-9623","11","11","14","0","344","169","344","171","459","221","31.9","60","44","3","3","5","2","41",""
"강서","강서구","경서중학교","http://gyeongseo.ms.kr/","공립","공학","157-809","서울특별시 강서구 양천로59길 31 (가양동경서중학교)","02-2668-0304","4","4","4","0","88","50","135","55","123","66","28.8","23","14","3","3","3","1","14",""
"강서","강서구","공진중학교","http://www.kongjin.ms.kr","공립","공학","157-807","서울특별시 강서구 양천로55길 56 (가양동공진중학교)","02-3665-8673","4","3","3","2","82","41","68","37","67","32","18.1","24","15","2","1","4","2","15",""
"강서","강서구","공항중학교","http://konghang.ms.kr","공립","공학","157-811","서울특별시 강서구 방화대로 241 (공항동공항중학교)","02-2662-0471","9","9","8","2","205","98","227","105","246","123","24.2","47","29","6","4","4","1","27",""
"강서","양천구","금옥중학교","http://geumok.ms.kr/","공립","공학","158-855","서울특별시 양천구 신정로 213  금옥중학교 (신정동)","02-2696-1202","11","12","11","0","354","189","376","186","337","172","31.4","59","41","3","1","3","2","34",""
"강서","강서구","등명중학교","http://www.deungmyoung.ms.kr","공립","공학","157-930","서울특별시 강서구 공항대로39길 39 (등촌동등명중학교)","02-2658-2727","8","9","9","0","250","122","297","142","301","170","32.6","47","35","3","2","4","1","30",""
"강서","강서구","등원중학교","http://www.deungwon.ms.kr","공립","공학","157-930","서울특별시 강서구 화곡로65길 50 (등촌동등원중학교)","02-2658-2707","6","8","6","2","167","116","238","167","199","143","27.5","37","27","1","1","3","1","32",""
"강서","양천구","목동중학교","http://www.mokdong.ms.kr","공립","공학","158-849","서울특별시 양천구 목동동로 172 (신정동목동중학교)","02-2643-1101","15","17","17","2","509","242","632","284","612","268","34.4","83","67","12","8","4","2","51",""
"강서","양천구","목운중학교","http://www.mogun.ms.kr","공립","공학","158-050","서울특별시 양천구 목동동로 235 (목동목운초.중학교)","02-2651-4060","15","15","15","1","521","264","549","263","564","285","35.5","75","63","9","6","5","4","46",""
"강서","양천구","목일중학교","http://www.mokil.ms.kr","공립","공학","158-887","서울특별시 양천구 목동동로8길 70 (신정동목일중학교)","02-2654-2685","14","16","17","0","455","165","516","185","550","209","32.4","82","63","6","6","4","0","47",""
"강서","강서구","방원중학교","http://bangwon.ms.kr","공립","공학","157-856","서울특별시 강서구 금낭화로 268  방원중학교 (방화동방원중학교)","02-2666-6014","6","5","6","1","161","83","154","68","163","61","26.6","31","17","7","6","4","1","22",""
"강서","강서구","방화중학교","http://www.banghwa.ms.kr","공립","공학","157-853","서울특별시 강서구 개화동로27길 9 (방화동방화중학교)","02-2664-8952","6","6","6","0","183","89","193","97","199","108","31.9","33","16","4","4","3","1","0",""
"강서","강서구","백석중학교","http://www.baekseok.ms.kr","공립","공학","157-836","서울특별시 강서구 등촌로51나길 35 (등촌동백석중학교)","02-2644-2886","11","13","12","1","335","126","411","145","390","117","30.7","61","43","7","4","2","1","48",""
"강서","강서구","삼정중학교","http://www.samjeong.ms.kr","공립","공학","157-220","서울특별시 강서구 금낭화로 210 (방화동삼정중학교)","02-2666-6032","5","6","6","0","119","61","151","80","154","84","24.9","34","25","3","3","4","2","17",""
"강서","강서구","성재중학교","http://www.sungjae.ms.kr","공립","공학","157-806","서울특별시 강서구 허준로 36 (가양동성재중학교)","02-2658-9853","6","6","6","0","152","72","168","74","176","83","27.6","31","23","4","3","3","1","20",""
"강서","강서구","송정중학교","http://www.songjeong.ms.kr","공립","공학","157-818","서울특별시 강서구 남부순환로 121 (공항동송정중학교)","02-2661-0478","5","5","4","0","86","42","97","43","72","35","18.2","27","17","2","1","4","1","16",""
"강서","강서구","수명중학교","http://sumyeong.ms.kr","공립","공학","157-280","서울특별시 강서구 수명로2길 16 (내발산동수명중학교)","070-4032-7603","7","7","6","1","245","116","253","129","228","119","34.6","38","30","1","1","3","2","23",""
"강서","양천구","신남중학교","http://www.shinnam.ms.kr","공립","공학","158-843","서울특별시 양천구 중앙로29길 109 (신월동신남중학교)","02-2602-7353","9","10","10","0","261","121","288","144","316","142","29.8","49","35","4","3","2","2","29",""
"강서","양천구","신목중학교","http://www.shinmok.ms.kr","공립","공학","158-874","서울특별시 양천구 목동중앙로 88 (목동신목중학교)","02-2648-2142","16","17","17","0","544","308","615","341","632","344","35.8","80","64","18","15","4","2","50",""
"강서","양천구","신서중학교","http://www.sinseo.ms.kr","공립","공학","158-070","서울특별시 양천구 중앙로 206 (신정동신서중학교)","02-2657-4625","14","16","17","2","447","152","504","171","598","200","31.6","80","63","14","13","4","2","49",""
"강서","양천구","신원중학교","http://www.shinwon.ms.kr","공립","공학","158-823","서울특별시 양천구 가로공원로55길 19 (신월동신원중학교)","02-2699-0183","6","6","6","2","163","95","175","93","184","104","26.1","31","18","5","4","3","0","20",""
"강서","양천구","신월중학교","http://www.ssinwol.ms.kr","공립","공학","158-822","서울특별시 양천구 남부순환로29길 25 (신월동신월중학교)","02-2601-4254","11","12","11","2","342","162","390","197","373","181","30.7","59","40","10","9","5","3","38",""
"강서","양천구","신화중학교","http://www.shinhwa.ms.kr","공립","공학","158-822","서울특별시 양천구 남부순환로29길 35 (신월동신화중학교)","02-2695-0785","12","15","14","1","322","154","460","233","494","255","30.4","68","53","5","3","4","2","44",""
"강서","양천구","양강중학교","http://www.yangkang.ms.kr","공립","공학","158-838","서울특별시 양천구 중앙로 319 (신월동양강중학교)","02-2691-0869","12","13","13","1","379","154","449","182","462","219","33.1","64","41","7","7","3","2","39",""
"강서","양천구","양동중학교","http://www.yangdong.ms.kr","공립","공학","158-811","서울특별시 양천구 목동중앙북로 49 (목동양동중학교)","02-2642-9055","11","13","13","2","338","175","425","213","413","207","30.2","66","50","6","5","4","2","43",""
"강서","양천구","양서중학교","http://www.yangseo.ms.kr","공립","공학","158-829","서울특별시 양천구 남부순환로 380 (신월동양서중학교)","02-2606-5162","6","7","7","0","190","102","211","99","216","96","30.9","33","20","6","4","4","2","20",""
"강서","양천구","양천중학교","http://www.yangcheon.ms.kr","공립","공학","158-845","서울특별시 양천구 지양로7길 32 (신월동양천중학교)","02-2694-2715","10","11","10","0","301","149","351","170","318","145","31.3","52","37","4","4","4","2","36",""
"강서","강서구","염경중학교","http://www.ymgng.ms.kr","공립","공학","157-859","서울특별시 강서구 양천로69길 35 (염창동염경중학교)","02-3661-6252","8","9","7","1","253","125","278","135","229","116","30.4","46","36","7","6","4","1","26",""
"강서","강서구","염창중학교","http://www.yumchang.ms.kr","공립","공학","157-859","서울특별시 강서구 양천로67가길 83 (염창동염창중학교)","02-3664-2885","11","11","11","0","348","169","359","175","391","206","33.3","59","42","0","0","4","2","35",""
"강서","양천구","월촌중학교","http://www.wolchonnet.ms.kr","공립","공학","158-879","서울특별시 양천구 목동서로 31 (목동서울월촌중학교)","02-2648-8570","15","17","16","0","507","317","595","348","550","316","34.4","76","56","19","14","4","2","49",""
"강서","강서구","화원중학교","http://www.shwawon.ms.kr","공립","공학","157-882","서울특별시 강서구 강서로17나길 86 (화곡동화원중학교)","02-2695-8441","8","9","8","0","264","128","295","129","256","117","32.6","41","31","6","4","4","2","25",""
"강서","강서구","덕원중학교","WWW.deokwon.ms.kr","사립","공학","157-700","서울특별시 강서구 강서로45길 91-44 (내발산동덕원중학교)","02-2660-7955","8","8","8","0","283","170","310","189","319","176","38","36","24","9","7","3","1","24",""
"강서","강서구","등촌중학교","http://www.deungchon.ms.kr","사립","공학","157-836","서울특별시 강서구 공항대로 484-12 (등촌동등촌중학교)","070-7005-8002","6","6","6","0","171","100","148","76","170","86","27.2","32","15","4","4","4","1","18",""
"강서","강서구","마포중학교","http://mapo.ms.kr","사립","남자","157-030","서울특별시 강서구 화곡로 403 (등촌동마포중고등학교)","02-3663-2591","7","7","7","0","222","0","206","0","224","0","31","36","11","5","4","4","1","22",""
"강서","강서구","명덕여자중학교","http://myungduk.ms.kr","사립","여자","157-726","서울특별시 강서구 강서로47길 34-10 (내발산동)","02-2664-8813","6","6","6","0","218","218","239","239","232","232","38.3","34","25","1","1","4","2","18",""
"강서","양천구","봉영여자중학교","http://bongyoung.ms.kr","사립","여자","158-070","서울특별시 양천구 목동동로2길 68 (신정동봉영여자중학교)","02-2648-7123","7","7","7","0","206","206","173","173","179","179","26.6","36","21","5","5","4","3","21",""
"강서","강서구","신정여자중학교","http://www.shinjeong.ms.kr","사립","여자","157-894","서울특별시 강서구 등촌로13아길 20 신정여자중학교","02-2644-3549","7","7","7","0","203","203","244","244","211","211","31.3","37","25","2","2","4","3","29",""
"강서","양천구","양정중학교","http://www.ycsc.ms.kr","사립","남자","158-879","서울특별시 양천구 안양천로 1039  양정중학교 (목동양정고등학교)","02-2649-7077","6","7","6","0","192","0","238","0","221","0","34.3","34","9","1","1","4","0","19",""
"강서","양천구","영도중학교","http://www.yeongdo21.ms.kr","사립","남자","158-815","서울특별시 양천구 목동중앙남로 27 (목동영도중학교)","02-2643-0243","6","6","6","0","195","0","163","0","207","0","31.4","31","11","0","0","3","0","20",""
