"전철역코드","전철역명","전철역명_영문","호선","외부코드","사이버스테이션","관리소코드","관리소명","개통일","전화번호","FAX번호","우편번호","주소","현장민원소","관광안내소","문화공간","항공권판매","장애인시설","만남의장소","주차장","자전거보관소","무인민원발급기","역무실","수유방","엘레베이터","에스컬레이터","휠체어리프트시설","스피드게이트","화장실","역명한자","유래","X좌표","Y좌표","X좌표(WGS)","Y좌표(WGS)"
"1208","덕소","Deokso","K","K126","1208","","철도청구간","2005-12-19 14:24:1","031-577-7788","","12210","경기도 남양주시 와부읍 덕소로 56","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","德沼","","545892","1134737","37.586781","127.208832"
"1911","덕정","Deokjeong","1","105","1911","410000","철도청구간","","031-858-2788","","11450","경기도 양주시 화합로 1356","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","德亭","","513355","1205710","37.843188","127.061277"
"0334","도곡","Dogok","3","344","0334","133400","도곡서비스센터","1993-10-30 0:0:0","02-6110-3441","6110 - 3449","06293","서울특별시 강남구 남부순환로 지하 2814","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","게이트 외부","道谷","","512105","1107980","37.490858","127.055381"
"0334","도곡","Dogok","3","344","0334","133400","도곡서비스센터","1993-10-30 0:0:0","02-6110-3441","6110 - 3449","06293","서울특별시 강남구 남부순환로 지하 2814","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","게이트 외부","道谷","○ 도곡의 유래는 마을 뒤에 매봉산이 둘러있고 물아래쪽 산부리에 돌이 많이 박혀 있어 돌부리라 하던 것이 변하여 독구리 돌곡 독곡이 되어 지금의 도곡이라 명명하였다.","512105","1107980","37.490858","127.055381"
"1025","도곡","Dogok","B","K217","0334","410000","코레일구간","2004-6-23 2:15:35","02-576-2706","","06293","서울특별시 강남구 남부순환로 지하 2814","N","N","N","N","N","Y","N","Y","Y","","N","","","","","게이트 내부","道谷","","512105","1107980","37.490858","127.055381"
"1025","도곡","Dogok","B","K217","0334","410000","코레일구간","2004-6-23 2:15:35","02-576-2706","","06293","서울특별시 강남구 남부순환로 지하 2814","N","N","N","N","N","Y","N","Y","Y","","N","","","","","게이트 내부","道谷","○ 도곡의 유래는 마을 뒤에 매봉산이 둘러있고 물아래쪽 산부리에 돌이 많이 박혀 있어 돌부리라 하던 것이 변하여 독구리 돌곡 독곡이 되어 지금의 도곡이라 명명하였다.","512105","1107980","37.490858","127.055381"
"1206","도농","Donong","K","K124","1206","","","2005-12-19 14:22:34","031-563-7788","","12259","경기도 남양주시 경춘로 433","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","陶農","","535400","1140587","37.608806","127.161153"
"0247","도림천","Dorimcheon","2","234-1","0247","123400","신도림영업소","1992-5-22 0:0:0","02-6110-2441","6110 - 2449","08200","서울특별시 구로구 경인로67길 160","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","Y","게이트 외부","道林川","○ 도림천은 당시 이곳 지명이었던 도림리를 흐르는 하천이란 뜻으로 도림천이라 불리게 되었고 역이 들어서면서 도림천역이라 명명되었다.","473827","1114450","37.514287","126.882768"
"1902","도봉","Dobong","1","114","1902","410000","철도청구간","","02-3493-8874","","01321","서울특별시 도봉구 도봉로170길 2","","","","","","","","","","","N","","","","","게이트 내부","道峰","서울 근교의 명산인 도봉산 아래에 있음으로 얻어진 이름","509890","1160207","37.679563","127.045595"
"2712","도봉산","Dobongsan","7","710","1903","350500","태릉역무관리소","1996-10-11 00:00:00","02-6311-7101","3492-5678","01318","서울특별시 도봉구 도봉로 964-40","","","","","","","Y","Y","","","N","","","","","게이트 외부","道峰山","","510065","1163090","37.689313","127.046222"
"2712","도봉산","Dobongsan","7","710","1903","350500","태릉역무관리소","1996-10-11 00:00:00","02-6311-7101","3492-5678","01318","서울특별시 도봉구 도봉로 964-40","","","","","","","Y","Y","","","N","","","","","게이트 외부","道峰山","도봉산의 이름을 따 도봉산역으로 명명","510065","1163090","37.689313","127.046222"
"1903","도봉산","Dobongsan","1","113","1903","410000","철도청구간","","02-955-7345","","01318","서울특별시 도봉구 도봉로 964-33","N","N","N","N","N","N","Y","N","","","N","","","","","게이트 외부","道峰山","","510065","1163090","37.689313","127.046222"
"1903","도봉산","Dobongsan","1","113","1903","410000","철도청구간","","02-955-7345","","01318","서울특별시 도봉구 도봉로 964-33","N","N","N","N","N","N","Y","N","","","N","","","","","게이트 외부","道峰山","도봉산의 이름을 따 도봉산역으로 명명","510065","1163090","37.689313","127.046222"
"1209","도심","Dosim","K","K127","1209","","","2007-12-27","031-521-8675","","12275","경기도 남양주시 와부읍 덕소로 237","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","陶深","","548956","1132632","37.579622","127.222672"
"1817","도원","Dowon","1","159","1817","410000","철도청구간","","032-773-7788","","22565","인천광역시 동구 참외전로 245","N","N","N","N","N","N","N","N","Y","","N","","","","","게이트 내부","桃源","옛날에 이곳에 복숭아밭이 많이 있었다고 한데서 유래됨.","420742","1101893","37.468446","126.642706"
"1823","도화","Dohwa","1","157","1823","410000","철도청구간","","032-863-1464","","22119","인천광역시 남구 숙골로24번길 9","","","","","","","","","","","N","","","","","게이트 외부","道禾","인근의 동명에서 유래했으며 도마다리말(말이 지나는 다리마을)과 화동(벼마을)의 마을을 따서 정해진 이름이다.","426550","1101115","37.466070","126.668672"
"0316","독립문","Dongnimmun","3","326","0316","131700","경복궁영업소","1985-07-12 00:00:00","02-6110-3261","6110 - 3269","03732","서울특별시 서대문구 통일로 지하 247","N","N","N","N","N","Y","N","Y","N","Y","N","Y","Y","Y","Y","게이트 내부","獨立門","○ 독립문역은 우리나라의 자주독립을 상징하는 독립문이 인근에 있어 붙여진 이름이다. 독립문은 1897년 서재필 박사의 노력으로 영은문 대신 세운 것으로 현재 사적 32호로 지정되어 있다.","490525","1131175","37.574571","126.957748"
"2614","독바위","Dokbawi","6","613","2614","350300","성산역무관리소","2000-12-15 00:00:00","02-6311-6131","","03354","서울특별시 은평구 불광로 지하 129-1","","","","","","","","Y","","","N","","","","","게이트 외부","독바위","○ 독바위는 은평구 불광동 수리봉 부근 있는 바위로서 모양이 독과 같다하여 붙여진 지명이다. 이 바위가 있는 마을을 독바윗굴 독박굴 옹암동이라고 하였다. 유달리 바위가 많아 숨기 편하여 인조반정 당시 이곳에서 모의하였다고 전해진다. 북한산 등산로가 인접하여 주변환경이 매우 수려하다.","485010","1143355","37.618456","126.933031"
"1714","독산","Doksan","1","P143","1714","410000","철도청구간","","02-2639-3229","","08601","서울특별시 금천구 벚꽃로 115","","","","","","","","","","","N","","","","","게이트 외부","禿山","마을 산봉우리에 나무가 없는 벌거숭이산이 있어 대머리 독(禿)자를 붙여 독산동이라 함.","475327","1101222","37.466613","126.889249"
"3206","독정","Dokjeong","I2","I206","3206","","","2016-07-30","032-451-4306","032-451-4336","","인천시 서구 백석동 74-1","","","","","","","","","","","Y","","","","","","篤亭","○ 공사 당시 가칭 백석역으로 불렸다. 그러나 일산선(수도권 전철 3호선)의 백석역과 이름이 겹치기도 해서 옛 지명 중 하나인 '한들'로 최초에는 결정을 했으나 '한들'이라는 것이 '넓은 들녘'이라는 광범위한 뜻으로 지역을 대표할만한 이름이 아니라는 의견이 있어서 2015년 9월 21일 인천광역시 도시철도건설본부가 독정역으로 확정하였다. 다만 이 경우 남구 용현1.4동의 지명 중 하나인 '독정이'와 이름이 혼동될 수 있다는 문제가 있기는 하다.","","","37.585212","126.675844"
"2644","돌곶이","Dolgoji","6","643","2644","350450","석계역무관리소","2000-08-07 00:00:00","02-6311-6431","","02772","서울특별시 성북구 화랑로 지하 243","","","","","","","","Y","","","N","","","","","게이트 외부","돌곶이","○ 마을 동쪽에 있는 천장산의 한맥이 검정돌을 꽂아 놓은 즉 수수팥떡 경단을 꼬지에 꿰어 놓은 것 같이 형성되었기 때문에 돌곶이 마을이라 부른데서 역 이름을 따왔으며 이것을 한자로 표기하여 이 동네를 석관동(石串洞)이라 부른다.","512415","1141217","37.610537","127.056431"
"0421","동대문","Line4 Dongdaemun Station","4","421","0155","115500","동대문영업소","1985-10-18 0:0:0","02-6110-4211","6110 - 4219","03198","서울특별시 종로구 율곡로 지하 308","N","N","N","Y","Y","Y","N","N","N","Y","N","Y","Y","Y","Y","게이트 외부","東大門","","502155","1130180","37.571420","127.009745"
"0421","동대문","Line4 Dongdaemun Station","4","421","0155","115500","동대문영업소","1985-10-18 0:0:0","02-6110-4211","6110 - 4219","03198","서울특별시 종로구 율곡로 지하 308","N","N","N","Y","Y","Y","N","N","N","Y","N","Y","Y","Y","Y","게이트 외부","東大門","○ 동대문역은 인근에 위치한 우리나라 보물 제1호인 동대문에서 유래하였다. 동대문은 흥인지문의 속칭으로 도성 4대문의 하나이다.","502155","1130180","37.571420","127.009745"
"0155","동대문","Dongdaemun","1","128","0155","115500","동대문영업소","1974-8-15 0:0:0","02-6110-1281","6110 - 1289","03119","서울특별시 종로구 종로 지하 302","Y","N","N","N","Y","Y","N","N","N","Y","N","Y","Y","Y","Y","게이트 외부","東大門","","502155","1130180","37.571420","127.009745"
"0155","동대문","Dongdaemun","1","128","0155","115500","동대문영업소","1974-8-15 0:0:0","02-6110-1281","6110 - 1289","03119","서울특별시 종로구 종로 지하 302","Y","N","N","N","Y","Y","N","N","N","Y","N","Y","Y","Y","Y","게이트 외부","東大門","○ 동대문역은 인근에 위치한 우리나라 보물 제1호인 동대문에서 유래하였다. 동대문은 흥인지문의 속칭으로 도성 4대문의 하나이다.","502155","1130180","37.571420","127.009745"
"0422","동대문역사문화공원","Dongdaemun History and Culture Park","4","422","0205","120700","상왕십리영업소","1985-10-18 0:0:0","02-6110-4221","6110 - 4229","04565","서울특별시 중구 장충단로 지하 230","N","N","N","N","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"0422","동대문역사문화공원","Dongdaemun History and Culture Park","4","422","0205","120700","상왕십리영업소","1985-10-18 0:0:0","02-6110-4221","6110 - 4229","04565","서울특별시 중구 장충단로 지하 230","N","N","N","N","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"0422","동대문역사문화공원","Dongdaemun History and Culture Park","4","422","0205","120700","상왕십리영업소","1985-10-18 0:0:0","02-6110-4221","6110 - 4229","04565","서울특별시 중구 장충단로 지하 230","N","N","N","N","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","○ 인근에 동대문운동장이 있어 명명되었다가 동대문운동장이 철거되어 2009년 12월 1일자로 역명이 동대문역사문화공원으로 변경되었다.<br /> ○ 동대문운동장은 1926년에 육상경기장과 야구장 정구장이 완공되어 경성운동장으로 불리었으나 해방 후에는 서울운동장 동대문운동장으로 불리우다 철거되었다. 원래 육상경기장은 조선 500여년간 장병의 선발과 무술훈련을 하던 훈련원터였다.","501555","1128600","37.565138","127.007896"
"0205","동대문역사문화공원","Dongdaemun History and Culture Park","2","205","0205","120700","상왕십리영업소","1983-9-16 0:0:0","02-6110-2051","6110 - 2059","04566","서울특별시 중구 을지로 지하 279","N","N","N","N","Y","Y","N","Y","N","Y","N","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"0205","동대문역사문화공원","Dongdaemun History and Culture Park","2","205","0205","120700","상왕십리영업소","1983-9-16 0:0:0","02-6110-2051","6110 - 2059","04566","서울특별시 중구 을지로 지하 279","N","N","N","N","Y","Y","N","Y","N","Y","N","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"0205","동대문역사문화공원","Dongdaemun History and Culture Park","2","205","0205","120700","상왕십리영업소","1983-9-16 0:0:0","02-6110-2051","6110 - 2059","04566","서울특별시 중구 을지로 지하 279","N","N","N","N","Y","Y","N","Y","N","Y","N","Y","Y","Y","Y","게이트 내부","東大門歷史文化公園","○ 인근에 동대문운동장이 있어 명명되었다가 동대문운동장이 철거되어 2009년 12월 1일자로 역명이 동대문역사문화공원으로 변경되었다.<br /> ○ 동대문운동장은 1926년에 육상경기장과 야구장 정구장이 완공되어 경성운동장으로 불리었으나 해방 후에는 서울운동장 동대문운동장으로 불리우다 철거되었다. 원래 육상경기장은 조선 500여년간 장병의 선발과 무술훈련을 하던 훈련원터였다.","501555","1128600","37.565138","127.007896"
"2537","동대문역사문화공원","Dongdaemun History and Culture Park","5","536","0205","350150","공덕역무관리소","1996-12-30 0:0:0","02-6311-5361","","04560","서울특별시 중구 마른내로 지하 162","N","N","N","N","Y","N","N","N","","","Y","","","","","게이트 외부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"2537","동대문역사문화공원","Dongdaemun History and Culture Park","5","536","0205","350150","공덕역무관리소","1996-12-30 0:0:0","02-6311-5361","","04560","서울특별시 중구 마른내로 지하 162","N","N","N","N","Y","N","N","N","","","Y","","","","","게이트 외부","東大門歷史文化公園","","501555","1128600","37.565138","127.007896"
"2537","동대문역사문화공원","Dongdaemun History and Culture Park","5","536","0205","350150","공덕역무관리소","1996-12-30 0:0:0","02-6311-5361","","04560","서울특별시 중구 마른내로 지하 162","N","N","N","N","Y","N","N","N","","","Y","","","","","게이트 외부","東大門歷史文化公園","○ 인근에 동대문운동장이 있어 명명되었다가 동대문운동장이 철거되어 2009년 12월 1일자로 역명이 동대문역사문화공원으로 변경되었다.<br /> ○ 동대문운동장은 1926년에 육상경기장과 야구장 정구장이 완공되어 경성운동장으로 불리었으나 해방 후에는 서울운동장 동대문운동장으로 불리우다 철거되었다. 원래 육상경기장은 조선 500여년간 장병의 선발과 무술훈련을 하던 훈련원터였다.","501555","1128600","37.565138","127.007896"
"0322","동대입구","Dongguk Univ.","3","332","0322","132500","옥수영업소","1985-10-18 00:00:00","02-6110-3321","6110 - 3329","04617","서울특별시 중구 동호로 지하 256","N","N","N","N","N","N","N","N","N","Y","N","Y","Y","Y","Y","게이트 내부","東大入口","○ 역 인근에 동국대학교가 위치하고 있어 동대입구라 명명하였다. 동대입구역이 위치한 장충동은 1900년에 을미사변때 순국한 사람들을 위하여 장충단(奬忠壇)을 꾸며놓고 봄 가을에 제사를 지냈기 때문에 유래된 것이다.","501022","1127027","37.559052","127.005602"
"1915","동두천","Dongducheon","1","101","1915","410000","철도청구간","","031-862-7788","","11307","경기도 동두천시 평화로 2687","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","東豆川","","511905","1229110","37.927878","127.054790"
"1913","동두천중앙","Dongducheonjungang","1","103","1913","410000","철도청구간","","031-865-2788","","11330","경기도 동두천시 동두천로 228","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","東豆川中央","","512255","1222010","37.901885","127.056482"
"3132","동막","Dongmak","I","I132","3132","310000","인천구간","","032-816-5584","","21975","인천광역시 연수구 경원대로 지하 80","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","東幕","○ 옛날부터 동막 마을은 어폐류가 자연 서식하는 천혜의 어장이었고 근처 봉재산은 군사적 요충지 역할을 했던 곳으로 전해지며 동막의 유래는 동쪽에 군대가 막을 치고 있었다고 하여 지어진 지명이다.","427474","1082340","37.397878","126.674005"
"0159","동묘앞","Dongmyo","1","127","0159","","동묘영업사무소","2005-12-19 14:42:30","02-6110-1271","6110 - 1279","03113","서울특별시 종로구 종로 359","N","N","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","게이트 외부","東廟앞","","503422","1130557","37.572627","127.016429"
"0159","동묘앞","Dongmyo","1","127","0159","","동묘영업사무소","2005-12-19 14:42:30","02-6110-1271","6110 - 1279","03113","서울특별시 종로구 종로 359","N","N","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","게이트 외부","東廟앞","○ 동묘는 중국 촉한의 명장 관우의 사당(보물 제142호)으로 원래 명칭은 동관왕묘이다.<br /> ○ 임진왜란때 조선과 명나라가 왜군을 물리치게 된 까닭이 성스러운 관우장군께 덕을 입었기 때문이라 여겨서 명나라 왕이 직접 액자를 써서 보내와 선조때(1601년) 창건하였으며 그 후 영조15년(1736년)에 중수한 이래 오늘에 이르고 있다.","503422","1130557","37.572627","127.016429"
"2637","동묘앞","Dongmyo","6","636","0159","350400","동묘역무관리소","2000-12-15 00:00:00","02-6311-6361","6360-204","03114","서울특별시 종로구 지봉로 지하 24","","","","","","","","","","","Y","","","","","게이트 외부","東廟앞","","503422","1130557","37.572627","127.016429"
"2637","동묘앞","Dongmyo","6","636","0159","350400","동묘역무관리소","2000-12-15 00:00:00","02-6311-6361","6360-204","03114","서울특별시 종로구 지봉로 지하 24","","","","","","","","","","","Y","","","","","게이트 외부","東廟앞","○ 동묘는 중국 촉한의 명장 관우의 사당(보물 제142호)으로 원래 명칭은 동관왕묘이다.<br /> ○ 임진왜란때 조선과 명나라가 왜군을 물리치게 된 까닭이 성스러운 관우장군께 덕을 입었기 때문이라 여겨서 명나라 왕이 직접 액자를 써서 보내와 선조때(1601년) 창건하였으며 그 후 영조15년(1736년)에 중수한 이래 오늘에 이르고 있다.","503422","1130557","37.572627","127.016429"
"4505","동백","Dongbaek","E","Y114","4505","410000","용인경전철","2014-09-20","031-329-3570","","17006","경기도 용인시 기흥구 동백죽전대로 314","","","","","","","","","","","N","","","","","게이트 외부","東栢","","533700","1046500","37.269043","127.152716"
"3121","동수","Dongsu","I","I121","3121","310000","인천구간","","032-516-3121","","21409","인천광역시 부평구 경인로 지하 877","","","","","","","","","","","N","","","","","게이트 외부","東樹","○ 부평역을 중심으로한 주변지역 일대가 옛날에는 동소정면에 속하였으며 부평역 남부지역 사람들을 동수쟁이라고 불렀다. 이것으로 미루어 동수쟁이는 동소정이 변음된 것으로 보인다. 이에 따라 1970년 부평2동에서 부평6동으로 분동하여 나갈 때 동수동으로 불렀었다. <br /> ○ 이곳은 과거 경인운하 공사가 시작되었다가 암반 때문에 중단되었다는 얘기가 전해지고 있으나 경인운하가 중지된 곳은 지금의 부평삼거리 부근이라는 이야기가 있다.","437695","1106492","37.485312","126.718247"
"1808","동암","Dongam","1","154","1808","410000","철도청구간","","032-421-7788","","21446","인천광역시 부평구 동암광장로 10","","","","","","","","","","","N","","","","","게이트 외부","銅岩","지리적으로 이 지역에서 구리가 많이나와서 동암이라 불린데서 유래됨.","434192","1102477","37.471408","126.702896"
"4608","동오","Dong-o","U","U118","4608","410000","의정부경전철","2014-12-06 00:00:00","031-820-1000","","11740","경기도 의정부시 장곡로 471","","","","","","","","","","","N","","","","","게이트 내부","東梧","옛 마을 명칭이 동오리(東梧里)에서 유래","512490","1178550","37.745271","127.056947"
"1811","동인천","Dongincheon","1","160","1811","410000","철도청구간","","032-772-7788","","22317","인천광역시 중구 참외전로 121","","","","","","","","","","","N","","","","","게이트 외부","東仁川","1899년 유현(杻峴)역으로 영업개시 1926년 상인천(上仁川)역으로 역명개칭 1955년 동인천(東仁川)역으로 역명개칭","418562","1103812","37.475276","126.632802"
"0431","동작","Dongjak","4","431","0431","142800","삼각지영업소","1985-10-18 00:00:00","02-6110-4311","6110 - 4319","06905","서울특별시 동작구 현충로 257","N","N","N","N","N","Y","Y","Y","","","N","","","","","게이트 내부","銅雀","","495157","1111287","37.502971","126.979306"
"0431","동작","Dongjak","4","431","0431","142800","삼각지영업소","1985-10-18 00:00:00","02-6110-4311","6110 - 4319","06905","서울특별시 동작구 현충로 257","N","N","N","N","N","Y","Y","Y","","","N","","","","","게이트 내부","銅雀","○ 동작이라는 명칭은 조선 왕조 때 서울과 수원이남 지방을 잇는 동재기 나루 즉 동작진에서 유래된 것으로 이곳에 역이 생겨 동작역이라 명명되었다.","495157","1111287","37.502971","126.979306"
"4120","동작","Dongjak","9","920","0431","410000","9호선구간","2009-7-24","02-2656-0920","","06984","서울특별시 동작구 현충로 지하 220","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 내부외부","銅雀","","495157","1111287","37.502971","126.979306"
"4120","동작","Dongjak","9","920","0431","410000","9호선구간","2009-7-24","02-2656-0920","","06984","서울특별시 동작구 현충로 지하 220","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 내부외부","銅雀","○ 동작이라는 명칭은 조선 왕조 때 서울과 수원이남 지방을 잇는 동재기 나루 즉 동작진에서 유래된 것으로 이곳에 역이 생겨 동작역이라 명명되었다.","495157","1111287","37.502971","126.979306"
"4314","동천","Dongcheon","S","D14","4314","350750","신분당선","","","","","","","","","","","","","","","","N","","","","","게이트 외부","東川","","","","37.337928","127.102976"
"3131","동춘","Dongchun","I","I131","3131","310000","인천구간","","032-814-5702","","21975","인천광역시 연수구 경원대로 지하 180","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","東春","○ 동춘동은 본래 인천부 서면의 지역으로서 청량산 동쪽이 되므로 동촌(東村) 또는 동춘이라 하였는데 일제 때인 1914년 행정구역 폐합에 따라 쇠미(小岩) 풀무골 (治谷) 각골(稼谷) 자앞(尺前) 도굴(道谷) 동막(東幕)을 병합하여 동춘리라 해서 부천구 문학면에 편입되었다. <br /> ○ 1940년 인천부(시)에 편입되어 왜식으로 동춘정(東春町)이라 하다가 1946년 왜식동명 변경에 의하여 다시 동춘동이 되었다.","429241","1084081","37.404737","126.681015"
"1727","두정","Dujeong","1","P168","1727","410000","철도청구간","2005-1-27 15:17:52","041-562-7791","","31111","충청남도 천안시 서북구 두정로 289","","","","","","","","","","","N","","","","","게이트 외부","斗井","천안군의 북이면에 속하였고 마을 앞에 큰 우물이 있어 물이 말로 쏟아져 나온다고 말우물 또는 두정이라고 한데서 유래","533047","925610","36.833705","127.148960"
"4515","둔전","Dunjeon","E","Y125","4515","410000","용인경전철","2014-09-20","031-329-3570","","17027","경기도 용인시 처인구 포곡읍 포곡로 70","","","","","","","","","","","N","","","","","게이트 외부","屯田","","547400","1045900","37.267051","127.213640"
"2555","둔촌동","Dunchon-dong","5","P549","2555","350250","강동역무관리소","1995-03-30 00:00:00","02-6311-5541","","05404","서울특별시 강동구 양재대로 지하 1369","N","N","N","N","N","Y","N","Y","","","N","","","","","게이트 외부","遁村洞","○ 광주 이씨의 시조인 묵은 이집이 신돈의 모함을 받고 지금의 일자산(둔촌동 뒷산) 서남쪽에 토굴을 파고 숨어 살았는데 이때의 고난을 자손후세까지 잊지않기 위하여 호를 둔촌으로 바꿨다.<br /> ○ 현재의 둔촌동 동명은 이곳에서 은거생활을 한 이집의 호 둔촌에서 비롯되었고 서울시 지명위원회 심의를 거쳐 둔촌동역으로 이르게 되었다.","529927","1118215","37.527788","127.136248"
"4109","등촌","Deungchon","9","909","4109","410000","9호선구간","2009-7-24","02-2656-0909","","07563","서울특별시 강서구 공항대로 지하 529","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 외부","登村","","470000","1124700","37.550632","126.865689"
"1266","디지털미디어시티","Digital Media City","K","K316","2619","410000","철도청구간","","02-305-1030","","03504","서울특별시 은평구 수색로 193","","","","","","","","","","","N","","","","","게이트 외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"1266","디지털미디어시티","Digital Media City","K","K316","2619","410000","철도청구간","","02-305-1030","","03504","서울특별시 은평구 수색로 193","","","","","","","","","","","N","","","","","게이트 외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"1266","디지털미디어시티","Digital Media City","K","K316","2619","410000","철도청구간","","02-305-1030","","03504","서울특별시 은평구 수색로 193","","","","","","","","","","","N","","","","","게이트 외부","디지털미디어시티","○ 주변이 세계적 첨단 미디어 및 엔터테인먼트 디지털기업 집적지로 조성됨에 따라 2009년 7월 1일에 "수색"에서 "디지털미디어시티"로 역명변경이 되었다.","477750","1131825","37.576646","126.900984"
"2619","디지털미디어시티","Digitalmediacity","6","618","2619","350300","성산역무관리소","2000-12-15 00:00:00","02-6311-6181","","03504","서울특별시 은평구 수색로 지하 175","","","","","","","","Y","","","N","","","","","게이트 내부외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"2619","디지털미디어시티","Digitalmediacity","6","618","2619","350300","성산역무관리소","2000-12-15 00:00:00","02-6311-6181","","03504","서울특별시 은평구 수색로 지하 175","","","","","","","","Y","","","N","","","","","게이트 내부외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"2619","디지털미디어시티","Digitalmediacity","6","618","2619","350300","성산역무관리소","2000-12-15 00:00:00","02-6311-6181","","03504","서울특별시 은평구 수색로 지하 175","","","","","","","","Y","","","N","","","","","게이트 내부외부","디지털미디어시티","○ 주변이 세계적 첨단 미디어 및 엔터테인먼트 디지털기업 집적지로 조성됨에 따라 2009년 7월 1일에 "수색"에서 "디지털미디어시티"로 역명변경이 되었다.","477750","1131825","37.576646","126.900984"
"1294","디지털미디어시티","Digitalmediacity","A","A04","2619","410000","코레일공항철도 구간","","032-745-7430","032-745-8899","03928","서울특별시 마포구 성암로 지하 184","","","","","","","","","","","N","","","","","게이트 내부외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"1294","디지털미디어시티","Digitalmediacity","A","A04","2619","410000","코레일공항철도 구간","","032-745-7430","032-745-8899","03928","서울특별시 마포구 성암로 지하 184","","","","","","","","","","","N","","","","","게이트 내부외부","디지털미디어시티","","477750","1131825","37.576646","126.900984"
"1294","디지털미디어시티","Digitalmediacity","A","A04","2619","410000","코레일공항철도 구간","","032-745-7430","032-745-8899","03928","서울특별시 마포구 성암로 지하 184","","","","","","","","","","","N","","","","","게이트 내부외부","디지털미디어시티","○ 주변이 세계적 첨단 미디어 및 엔터테인먼트 디지털기업 집적지로 조성됨에 따라 2009년 7월 1일에 "수색"에서 "디지털미디어시티"로 역명변경이 되었다.","477750","1131825","37.576646","126.900984"
"0210","뚝섬","Ttukseom","2","210","0210","121100","동대문운동장서비스센터","동","02-6110-2101","6110 - 2109","04778","서울특별시 성동구 아차산로 18","N","N","N","N","N","Y","N","Y","N","Y","N","Y","N","N","Y","게이트 외부","뚝섬","○ 한강으로 들어가는 중랑천 하류에 있는 뚝섬은 삼면에 물이 있어 섬이라 부를만 하다하여 한성부때 독도(纛島) 살꽃이벌으로 불려오다 뚝섬으로 불리어졌다.<br /> ○ 독도(纛島)는 조선시대 태조 이성계 때부터 임금의 사냥장소였다는 데서 나왔다. 임금이 행차하면 그 상징으로 독기(纛旗:소꼬리나 꿩꽁지로 장식한 큰 깃발)를 꽂았는데 이곳이 한강과 중랑천으로 둘러싸인 섬 같다고 해서 ‘독기를 꽂은 섬’이란 뜻에서 '독도(纛島)'라 불리었다.","510281","1123615","37.547184","127.047367"
"2730","뚝섬유원지","Ttukseom Resort","7","728","2730","350600","내방역무관리소","2000-08-01 00:00:00","02-6311-7281","","05096","서울특별시 광진구 능동로 10","","","","","","","","Y","","","Y","","","","","게이트 내부","뚝섬遊園地","○ 인근의 뚝섬유원지에서 역명을 따왔다. 옛날 살곶이들이라고 하였으나 1980년대 한강종합개발계획에 의해 뚝섬유원지가 조성되었다. 뚝섬 유원지는 면적 547000㎡(16만6천여평) 연인원 200만명의 시민이 이용하고 있다.","514630","1119362","37.531540","127.066704"
"2515","마곡","Magok","5","514","2515","350050","화곡역무관리소","","02-6311-5141","","07800","서울특별시 강서구 공항대로 지하 163","","","","","","","","","","","N","","","","","게이트 외부","麻谷","○ 옛날에 이 동네에 삼(麻)을 많이 심어서 붙여진 이름이다.","461137","1127285","37.560183","126.825448"
"4105","마곡나루","Magongnaru","9","905","4105","410000","9호선구간","2009-7-24","02-2656-0905","","07788","서울특별시 강서구 마곡중앙5로 지하 2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 외부","麻谷渡口","","461700","1129100","37.567336","126.829497"
